**************************************************
time =  0.000e+00, print energy and ob(e)
--------------------------------------------------
 5.2037034e-02  0.0000000e+00
 5.2055409e-02  0.0000000e+00
 5.2073784e-02  0.0000000e+00
 5.2092158e-02  0.0000000e+00
 5.2110533e-02  0.0000000e+00
 5.2128908e-02  0.0000000e+00
 5.2147282e-02  0.0000000e+00
 5.2165657e-02  0.0000000e+00
 5.2184032e-02  0.0000000e+00
 5.2202406e-02  0.0000000e+00
 5.2220781e-02  0.0000000e+00
 5.2239156e-02  0.0000000e+00
 5.2257530e-02  0.0000000e+00
 5.2275905e-02  0.0000000e+00
 5.2294280e-02  0.0000000e+00
 5.2312654e-02  0.0000000e+00
 5.2331029e-02  0.0000000e+00
 5.2349404e-02  0.0000000e+00
 5.2367778e-02  0.0000000e+00
 5.2386153e-02  0.0000000e+00
 5.2404528e-02  0.0000000e+00
 5.2422902e-02  0.0000000e+00
 5.2441277e-02  0.0000000e+00
 5.2459652e-02  0.0000000e+00
 5.2478026e-02  0.0000000e+00
 5.2496401e-02  0.0000000e+00
 5.2514775e-02  3.2541843e-05
 5.2533150e-02  7.1480444e-05
 5.2551525e-02  6.0359098e-04
 5.2569899e-02  1.0258906e-03
 5.2588274e-02  1.0290201e-03
 5.2606649e-02  1.2256084e-03
 5.2625023e-02  8.6096369e-04
 5.2643398e-02  2.4871348e-03
 5.2661773e-02  2.2913591e-03
 5.2680147e-02  2.3545395e-03
 5.2698522e-02  9.8054650e-04
 5.2716897e-02  4.3242833e-04
 5.2735271e-02  2.0620890e-03
 5.2753646e-02  3.4231501e-03
 5.2772021e-02  3.5294560e-03
 5.2790395e-02  3.3541613e-03
 5.2808770e-02  1.7403360e-03
 5.2827145e-02  3.9509681e-03
 5.2845519e-02  2.3360707e-03
 5.2863894e-02  2.3464121e-03
 5.2882269e-02  8.1742058e-04
 5.2900643e-02  8.7526218e-04
 5.2919018e-02  4.9882161e-03
 5.2937393e-02  5.6630882e-03
 5.2955767e-02  5.7146608e-03
 5.2974142e-02  2.9457180e-03
 5.2992517e-02  1.7583508e-03
 5.3010891e-02  5.0320723e-03
 5.3029266e-02  3.4970295e-03
 5.3047641e-02  3.5057647e-03
 5.3066015e-02  5.6357327e-04
 5.3084390e-02  1.3730993e-03
 5.3102765e-02  5.6223792e-03
 5.3121139e-02  5.2863797e-03
 5.3139514e-02  5.9191992e-03
 5.3157889e-02  3.4271271e-03
 5.3176263e-02  8.3238574e-03
 5.3194638e-02  6.9200896e-03
 5.3213013e-02  5.3043206e-03
 5.3231387e-02  0.0000000e+00
 5.3249762e-02  0.0000000e+00
 5.3268137e-02  0.0000000e+00
 5.3286511e-02  0.0000000e+00
 5.3304886e-02  0.0000000e+00
 5.3323261e-02  0.0000000e+00
 5.3341635e-02  0.0000000e+00
 5.3360010e-02  0.0000000e+00
 5.3378385e-02  0.0000000e+00
 5.3396759e-02  0.0000000e+00
 5.3415134e-02  0.0000000e+00
 5.3433509e-02  0.0000000e+00
 5.3451883e-02  0.0000000e+00
 5.3470258e-02  0.0000000e+00
 5.3488633e-02  0.0000000e+00
 5.3507007e-02  0.0000000e+00
 5.3525382e-02  0.0000000e+00
 5.3543757e-02  0.0000000e+00
 5.3562131e-02  0.0000000e+00
 5.3580506e-02  0.0000000e+00
 5.3598881e-02  0.0000000e+00
 5.3617255e-02  0.0000000e+00
 5.3635630e-02  0.0000000e+00
 5.3654005e-02  0.0000000e+00
 5.3672379e-02  0.0000000e+00
 5.3690754e-02  0.0000000e+00
 5.3709129e-02  0.0000000e+00
**************************************************
